<U647D> \xB4\xB7 |1 # 摽->捶
<U5117> \xC4\xE2 |1 # 儗->拟
<U6130> \xBB\xCE |1 # 愰->晃
<U7F5E> \xC3\xAC |1 # 罞->矛
<U588E> \xB9\xF9 |1 # 墎->郭
<U625D> \xD4\xA6 |1 # 扝->驭
<U7179> \xF3\xF4 |1 # 煹->篝
<U61E4> \xB3\xEE |1 # 懤->愁
<U774C> \xCD\xED |1 # 睌->晚
<U7C96> \xD3\xDF |1 # 粖->舆
<U5521> \xC1\xBD |1 # 唡->两
<U5562> \xC1\xBD |1 # 啢->两
<U8E61> \xF5\xC4 |1 # 蹡->跄
<U8E4C> \xF5\xC4 |1 # 蹌->跄
<U5BCD> \xC4\xFE |1 # 寍->宁
<U5BE7> \xC4\xFE |1 # 寧->宁
<U5035> \xCE\xE4 |1 # 倵->武
<U75C0> \xD8\xFE |1 # 痀->佝
<U580E> \xC0\xE2 |1 # 堎->棱
<U4E31> \xB9\xD8 |1 # 丱->关
<U82B5> \xBE\xF6 |1 # 芵->决
<U81DD> \xC2\xE3 |1 # 臝->裸
<U8EB6> \xC2\xE3 |1 # 躶->裸
<U538E> \xB5\xD7 |1 # 厎->底
<U7EAE> \xBA\xEA |1 # 纮->宏
<U5010> \xD9\xBF |1 # 倐->倏
<U803E> \xBA\xEA |1 # 耾->宏
<U5DD8> \xD1\xDF |1 # 巘->堰
<U7304> \xBE\xA9 |1 # 猄->京
<U78B6> \xC6\xF5 |1 # 碶->契
<U54B6> \xF1\xF8 |1 # 咶->聒
<U5620> \xB8\xC2 |1 # 嘠->嘎
<U60D9> \xEA\xA1 |1 # 惙->辍
<U634A> \xDE\xE5 |1 # 捊->掊
<U841B> \xCB\xE3 |1 # 萛->算
<U61BF> \xBD\xC4 |1 # 憿->侥
<U4F6E> \xC7\xA1 |1 # 佮->恰
<U65F3> \xB5\xC4 |1 # 旳->的
<U6024> \xCF\xEB |1 # 怤->想
<U9024> \xCB\xF7 |1 # 逤->索
<U8DF0> \xEB\xDD |1 # 跰->胼
<U6786> \xBA\xC4 |1 # 枆->耗
<U7880> \xD5\xF9 |1 # 碀->争
<U627D> \xC0\xAD |1 # 扽->拉
<U6713> \xCC\xF4 |1 # 朓->挑
<U4F13> \xB1\xAD |1 # 伓->杯
<U9A14> \xB8\xF0 |1 # 騔->葛
<U735A> \xBB\xC6 |1 # 獚->黄
<U70B0> \xC5\xDA |1 # 炰->炮
<U5447> \xC6\xF4 |1 # 呇->启
<U7B4A> \xBD\xBB |1 # 筊->交
<U8ABD> \xCB\xB5 |1 # 誽->说
<U7D80> \xC1\xB7 |1 # 綀->练
<U6097> \xC0\xA2 |1 # 悗->愧
<U6B25> \xB4\xB5 |1 # 欥->吹
<U5A65> \xB4\xC2 |1 # 婥->绰
<U5A60> \xCD\xF1 |1 # 婠->婉
<U977A> \xC4\xA9 |1 # 靺->末
<U9E03> \xD2\xE5 |1 # 鸃->义
<U9D54> \xBF\xA1 |1 # 鵔->俊
<U5AC3> \xD5\xE6 |1 # 嫃->真
<U879D> \xF2\xB3 |1 # 螝->虺
<U9F16> \xB9\xC4 |1 # 鼖->鼓
<U5900> \xCA\xD9 |1 # 夀->寿
<U7B73> \xD1\xE7 |1 # 筳->宴
<UE2D4> \xB9\xCF |1 # ->瓜
<UE2CB> \xD4\xC8 |1 # ->匀
<U7FD7> \xBF\xC2 |1 # 翗->柯
<U67DB> \xC9\xF1 |1 # 柛->神
<U946F> \xBC\xE2 |1 # 鑯->尖
<U9156> \xB5\xA2 |1 # 酖->耽
<U894C> \xEC\xF8 |1 # 襌->禅
<U891D> \xEC\xF8 |1 # 褝->禅
<U6338> \xBC\xFB |1 # 挸->见
<U8FFC> \xD5\xE2 |1 # 迼->这
<U8DB9> \xBE\xF6 |1 # 趹->决
<U85BE> \xB6\xFB |1 # 薾->尔
<U8E6A> \xE7\xC0 |1 # 蹪->缋
<U50C8> \xC2\xFD |1 # 僈->慢
<UE2DC> \xB1\xCF |1 # ->毕
<U4FEC> \xCB\xBD |1 # 俬->私
<U8F47> \xBD\xBB |1 # 轇->交
<U8F55> \xB8\xF0 |1 # 轕->葛
<U618D> \xBD\xBE |1 # 憍->骄
<U58F8> \xBA\xF8 |1 # 壸->壶
<U58FC> \xBA\xF8 |1 # 壼->壶
<U979A> \xBF\xD8 |1 # 鞚->控
<U7F3C> \xC8\xB1 |1 # 缼->缺
<U91FF> \xBD\xEF |1 # 釿->斤
<U9BB0> \xE4\xA7 |1 # 鮰->洄
<U9BA0> \xE4\xA7 |1 # 鮠->洄
<U8316> \xB8\xF7 |1 # 茖->各
<U7C4E> \xD2\xC9 |1 # 籎->疑
<U8F40> \xCE\xC2 |1 # 轀->温
<U79A0> \xCB\xC5 |1 # 禠->伺
<U71E9> \xE3\xD7 |1 # 燩->阕
<U5D1F> \xD2\xF0 |1 # 崟->茵
<U5D2F> \xD2\xF0 |1 # 崯->茵
<U87DA> \xF3\xB2 |1 # 蟚->蟛
<U8286> \xB2\xE6 |1 # 芆->叉
<U9DC9> \xCC\xE1 |1 # 鷉->提
<U9E0A> \xB1\xD9 |1 # 鸊->辟
<U69E2> \xCF\xB0 |1 # 槢->习
<U9C96> \xF7\xAF |1 # 鲖->鳢
<U9BA6> \xF7\xAF |1 # 鮦->鳢
<U603A> \xD3\xC1 |1 # 怺->恿
<U60E5> \xD3\xC1 |1 # 惥->恿
<U5BD1> \xC7\xDE |1 # 寑->寝
<UE2F7> \xB3\xEB |1 # ->畴
<U92FB> \xBC\xE1 |1 # 鋻->坚
<U793D> \xC8\xD4 |1 # 礽->仍
<U4FEB> \xC0\xB4 |1 # 俫->来
<U5008> \xC0\xB4 |1 # 倈->来
<U7B39> \xCC\xEB |1 # 笹->屉
<U5C5C> \xCC\xEB |1 # 屜->屉
<U5C5F> \xCC\xEB |1 # 屟->屉
<U8FBC> \xD3\xD8 |1 # 込->迂
<U698A> \xC9\xF1 |1 # 榊->神
<U5ADF> \xEA\xC7 |1 # 嫟->昵
<U6A8A> \xDF\xA6 |1 # 檊->擀
<U8E7D> \xE7\xD4 |1 # 蹽->缭
<U852F> \xB3\xC2 |1 # 蔯->陈
<U7F63> \xB9\xD2 |1 # 罣->挂
<U639B> \xB9\xD2 |1 # 掛->挂
<U5488> \xB7\xF7 |1 # 咈->拂
<U4F4C> \xB4\xCB |1 # 佌->此
<U6333> \xBF\xD4 |1 # 挳->吭
<U647C> \xBF\xD4 |1 # 摼->吭
<U6B55> \xC5\xE7 |1 # 歕->喷
<U5674> \xC5\xE7 |1 # 噴->喷
<U9D22> \xDE\xD6 |1 # 鴢->拗
<U83F6> \xB1\xBE |1 # 菶->本
<U6E64> \xCA\xA9 |1 # 湤->施
<U63F0> \xB4\xB7 |1 # 揰->捶
<U6722> \xCD\xFB |1 # 朢->望
<U4FD3> \xBE\xB6 |1 # 俓->径
<U5FB6> \xC6\xB2 |1 # 徶->撇
<U6996> \xEC\xB1 |1 # 榖->毂
<U7D5F> \xCB\xA9 |1 # 絟->拴
<U938E> \xE2\xE9 |1 # 鎎->忾
<U613E> \xE2\xE9 |1 # 愾->忾
<U9B59> \xD5\xB8 |1 # 魙->崭
<U89A4> \xCF\xAC |1 # 覤->犀
<U8E0D> \xCF\xF8 |1 # 踍->哮
<U9AB9> \xD0\xA3 |1 # 骹->校
<U9AC7> \xD0\xA3 |1 # 髇->校
<U8FC6> \xE5\xC6 |1 # 迆->迤
<U5E9B> \xB4\xCB |1 # 庛->此
<U81A7> \xCD\xAB |1 # 膧->瞳
<U7700> \xC3\xF7 |1 # 眀->明
<U5CEE> \xC8\xB9 |1 # 峮->裙
<U71C0> \xB5\xAF |1 # 燀->弹
<U7100> \xEC\xCE |1 # 焀->煳
<U91A1> \xD5\xA5 |1 # 醡->榨
<U823A> \xE8\xD4 |1 # 舺->柙
<U9643> \xB1\xFA |1 # 陃->柄
<U62BA> \xC4\xA8 |1 # 抺->抹
<U6DB0> \xE0\xA8 |1 # 涰->啜
<U9795> \xB1\xDE |1 # 鞕->鞭
<U9DAA> \xBE\xE3 |1 # 鶪->俱
<U6D8F> \xCF\xD1 |1 # 涏->涎
<U5D67> \xC1\xF4 |1 # 嵧->留
<U7309> \xC6\xE4 |1 # 猉->其
<U921A> \xC5\xFA |1 # 鈚->批
<U694C> \xD1\xE5 |1 # 楌->彦
<U69EE> \xB2\xCE |1 # 槮->参
<U692E> \xB2\xCE |1 # 椮->参
<U789E> \xD1\xD2 |1 # 碞->岩
<U5DD6> \xD1\xD2 |1 # 巖->岩
<U55A6> \xD1\xD2 |1 # 喦->岩
<U5DD7> \xD1\xD2 |1 # 巗->岩
<U6610> \xC5\xCE |1 # 昐->盼
<U7392> \xBA\xE7 |1 # 玒->虹
<U93FB> \xC1\xD7 |1 # 鏻->磷
<U556B> \xD5\xDF |1 # 啫->者
<U879A> \xDC\xB5 |1 # 螚->艿
<U7A48> \xC3\xD3 |1 # 穈->糜
<U7046> \xC0\xC4 |1 # 灆->滥
<U6FEB> \xC0\xC4 |1 # 濫->滥
<U70D2> \xCA\xBD |1 # 烒->式
<U55E2> \xEB\xF0 |1 # 嗢->腽
<U57E2> \xBE\xED |1 # 埢->卷
<U7914> \xC5\xF9 |1 # 礔->霹
<U63D9> \xB1\xE2 |1 # 揙->扁
<U6F30> \xB1\xC0 |1 # 漰->崩
<U8448> \xB2\xD4 |1 # 葈->苍
<U6B09> \xB4\xD4 |1 # 欉->丛
<U7E20> \xBB\xA1 |1 # 縠->弧
<U6ED9> \xBB\xE3 |1 # 滙->汇
<U5513> \xB3\xB5 |1 # 唓->车
<U75BA> \xB7\xA6 |1 # 疺->乏
<U7DFC> \xD4\xCC |1 # 緼->蕴
<U7995> \xD2\xC1 |1 # 禕->伊
<U5487> \xB1\xD8 |1 # 咇->必
<U7B65> \xC2\xC0 |1 # 筥->吕
<U882A> \xEB\xCA |1 # 蠪->胧
<U6A66> \xE4\xFC |1 # 橦->潼
<U977D> \xB0\xED |1 # 靽->绊
<U9391> \xEE\xF4 |1 # 鎑->铘
<U740B> \xCF\xA3 |1 # 琋->希
<U71B0> \xC5\xBD |1 # 熰->沤
<U9DE8> \xBB\xAA |1 # 鷨->华
<U630C> \xB8\xF1 |1 # 挌->格
<U55D5> \xC8\xE3 |1 # 嗕->茹
<U9A0B> \xC0\xB4 |1 # 騋->来
<U9E8E> \xF7\xE7 |1 # 麎->麋
<U6FE2> \xB4\xE4 |1 # 濢->翠
<U8E4D> \xD5\xB7 |1 # 蹍->辗
<U6506> \xC4\xEC |1 # 攆->撵
<U73FA> \xBE\xFD |1 # 珺->君
<U5095> \xE3\xDA |1 # 傕->阙
<U95D5> \xE3\xDA |1 # 闕->阙
<U709E> \xEC\xD4 |1 # 炞->煸
<U8962> \xCC\xBB |1 # 襢->袒
<U9BB2> \xF2\xC9 |1 # 鮲->蛏
<U6B58> \xD0\xF1 |1 # 歘->旭
<U4F62> \xC7\xFE |1 # 佢->渠
<U5481> \xCF\xCE |1 # 咁->衔
<U8EEE> \xD1\xEB |1 # 軮->央
<U7AAB> \xED\xFD |1 # 窫->睚
<U7332> \xBA\xC8 |1 # 猲->喝
<U663B> \xB0\xBA |1 # 昻->昂
<U5D8E> \xEC\xD9 |1 # 嶎->熨
<U964E> \xCA\xE2 |1 # 陎->殊
<U6F25> \xCD\xDD |1 # 漥->洼
<U638D> \xBB\xEC |1 # 掍->混
<U4E20> \xC7\xF0 |1 # 丠->丘
<U96AC> \xC3\xD6 |1 # 隬->弥
<U9D36> \xBC\xD5 |1 # 鴶->颊
<U9D74> \xBE\xD5 |1 # 鵴->菊
<U9729> \xC0\xAA |1 # 霩->廓
<U9DE9> \xB1\xD6 |1 # 鷩->敝
<U939B> \xB8\xBF |1 # 鎛->缚
<U6F0E> \xB4\xD3 |1 # 漎->从
<U8283> \xC5\xEE |1 # 芃->蓬
<U9620> \xD0\xC5 |1 # 阠->信
<U9140> \xD1\xE0 |1 # 酀->燕
<U6C6E> \xBE\xF9 |1 # 汮->均
<U9B4A> \xF2\xE2 |1 # 魊->蜮
<U50C7> \xC4\xC2 |1 # 僇->穆
<U7A4B> \xC2\xBB |1 # 穋->禄
<U6CA8> \xB7\xE7 |1 # 沨->风
<U6E22> \xB7\xE7 |1 # 渢->风
<U6E30> \xD1\xCD |1 # 渰->淹
<U61C1> \xD0\xF9 |1 # 懁->轩
<U7964> \xD3\xF0 |1 # 祤->羽
<U59B6> \xD0\xFE |1 # 妶->玄
<U9BE5> \xC2\xBD |1 # 鯥->陆
<U6D55> \xBE\xA1 |1 # 浕->尽
<U6FDC> \xBE\xA1 |1 # 濜->尽
<U7395> \xB8\xC9 |1 # 玕->干
<U90B7> \xCD\xDF |1 # 邷->瓦
<U75DA> \xCF\xF8 |1 # 痚->哮
<U844E> \xC2\xC9 |1 # 葎->律
<U87E2> \xCF\xB2 |1 # 蟢->喜
<U5187> \xC3\xBB |1 # 冇->没
<U5A7B> \xC4\xCF |1 # 婻->南
<U61C6> \xD4\xEF |1 # 懆->燥
<U99FB> \xBA\xB7 |1 # 駻->悍
<U6D49> \xCA\xA6 |1 # 浉->师
<U6EAE> \xCA\xA6 |1 # 溮->师
<U6705> \xEA\xC2 |1 # 朅->曷
<U6D7D> \xCB\xE7 |1 # 浽->绥
<U84A0> \xCF\xA2 |1 # 蒠->息
<U78C4> \xCC\xC1 |1 # 磄->塘
<U7E24> \xCB\xD8 |1 # 縤->素
<U7E72> \xBD\xE2 |1 # 繲->解
<U5C5B> \xC6\xC1 |1 # 屛->屏
<U765A> \xD9\xD9 |1 # 癚->儋
<U68DD> \xB9\xCC |1 # 棝->固
<U86BB> \xD4\xFA |1 # 蚻->扎
<U9AB4> \xED\xF6 |1 # 骴->眦
<U9ACA> \xED\xF6 |1 # 髊->眦
<U7C3C> \xF3\xF4 |1 # 簼->篝
<U6932> \xCE\xA6 |1 # 椲->桅
<U5A56> \xCC\xF2 |1 # 婖->舔
<U7B6F> \xBD\xEE |1 # 筯->筋
<U8FC0> \xD3\xD8 |1 # 迀->迂
<U9AD7> \xC2\xAD |1 # 髗->颅
<U9B9D> \xF6\xDF |1 # 鮝->鲞
<U8B45> \xC9\xAC |1 # 譅->涩
<U80A7> \xC5\xDF |1 # 肧->胚
<U78F3> \xD4\xF8 |1 # 磳->曾
<U6443> \xBF\xB8 |1 # 摃->扛
<U9ABE> \xF6\xE1 |1 # 骾->鲠
<U9BC1> \xF6\xE1 |1 # 鯁->鲠
<U5734> \xBE\xF9 |1 # 圴->均
<U9683> \xD3\xE2 |1 # 隃->逾
<U696A> \xB5\xFA |1 # 楪->碟
<U5EBC> \xC7\xEA |1 # 庼->顷
<U5ECE> \xC7\xEA |1 # 廎->顷
<U5461> \xC3\xF2 |1 # 呡->抿
<U6646> \xBF\xFC |1 # 晆->奎
<U66C0> \xD2\xAD |1 # 曀->噎
<U7E17> \xCB\xA5 |1 # 縗->衰
<U7F1E> \xCB\xA5 |1 # 缞->衰
<U9482> \xB5\xB3 |1 # 钂->党
<U954B> \xB5\xB3 |1 # 镋->党
<U6733> \xB0\xD2 |1 # 朳->耙
<U9427> \xEF\xB5 |1 # 鐧->锏
<U9417> \xEF\xB5 |1 # 鐗->锏
<U55CF> \xDF\xE5 |1 # 嗏->咤
<U505F> \xBB\xCC |1 # 偟->惶
<U8E0E> \xC6\xA6 |1 # 踎->痞
<U4E41> \xD2\xC6 |1 # 乁->移
<U4E44> \xB7\xE2 |1 # 乄->封
<U6283> \xE3\xEA |1 # 抃->汴
<U6017> \xB5\xEB |1 # 怗->惦
<U5E1F> \xD2\xE1 |1 # 帟->裔
<U7789> \xBF\xC7 |1 # 瞉->壳
<U6010> \xBE\xE5 |1 # 怐->惧
<U6B6D> \xD6\xC5 |1 # 歭->峙
<U9F58> \xD0\xB8 |1 # 齘->懈
<U668B> \xC3\xE3 |1 # 暋->勉
<U9B7F> \xC1\xE6 |1 # 魿->伶
<U6B7E> \xE9\xE2 |1 # 歾->殁
<U7E13> \xDC\xF5 |1 # 縓->荃
<U7DA3> \xDC\xF5 |1 # 綣->荃
<U51D0> \xE4\xCE |1 # 凐->湮
<U8E54> \xD4\xDD |1 # 蹔->暂
<U6D50> \xE4\xFC |1 # 浐->潼
<U6EFB> \xE4\xFC |1 # 滻->潼
<U6EC8> \xB8\xE4 |1 # 滈->镐
<U7E68> \xB7\xEC |1 # 繨->缝
<U8780> \xB2\xF5 |1 # 螀->蝉
<U87BF> \xB2\xF5 |1 # 螿->蝉
<U91B0> \xCC\xB6 |1 # 醰->潭
<U9A63> \xCC\xDA |1 # 驣->腾
<U5622> \xD2\xAD |1 # 嘢->噎
<U6058> \xEC\xE5 |1 # 恘->戾
<U89E0> \xF2\xE9 |1 # 觠->蜷
<U4F45> \xC2\xF5 |1 # 佅->迈
<U981B> \xC0\xE0 |1 # 頛->类
<U6D10> \xD1\xDC |1 # 洐->衍
<U632C> \xE3\xA3 |1 # 挬->悖
<U8B2E> \xDF\xF5 |1 # 謮->啧
<U5AF0> \xC4\xDB |1 # 嫰->嫩
<U637D> \xE3\xB2 |1 # 捽->悴
<U8890> \xC3\xD8 |1 # 袐->秘
<U9CEF> \xB7\xEF |1 # 鳯->凤
<U8A94> \xB5\xAE |1 # 誔->诞
<U983A> \xCD\xC7 |1 # 頺->颓
<U7D98> \xB7\xEC |1 # 綘->缝
<U67F8> \xB1\xAD |1 # 柸->杯
<U6378> \xB4\xFE |1 # 捸->逮
<U5D3B> \xD6\xC5 |1 # 崻->峙
<U5D80> \xCD\xBF |1 # 嶀->涂
<U5DA0> \xE1\xBD |1 # 嶠->峤
<U9722> \xC2\xF6 |1 # 霢->脉
<U6EC9> \xBB\xCE |1 # 滉->晃
<U918A> \xEA\xA1 |1 # 醊->辍
<U62B3> \xD6\xB8 |1 # 抳->指
<U67C5> \xC4\xE1 |1 # 柅->尼
<U6329> \xCD\xD1 |1 # 挩->脱
<U635D> \xCD\xD1 |1 # 捝->脱
<U72BD> \xD8\xF3 |1 # 犽->伢
<U98BA> \xD1\xEF |1 # 颺->扬
